source,relation,target
Atorvastatin,TARGETS,HMG-CoA reductase (HMGCR)
Atorvastatin,METABOLIZED_BY,CYP3A4
Atorvastatin,TRANSPORTED_BY,OATP1B1
Atorvastatin,TRANSPORTED_BY,BCRP
Atorvastatin,PARTICIPATES_IN,Cholesterol biosynthesis pathway
Atorvastatin,CAUSES,Myalgia
Atorvastatin,CAUSES,Rhabdomyolysis
Atorvastatin,CAUSES,Increased liver enzymes
Atorvastatin,CAUSES,Headache
Simvastatin,TARGETS,HMG-CoA reductase (HMGCR)
Simvastatin,METABOLIZED_BY,CYP3A4
Simvastatin,TRANSPORTED_BY,OATP1B1
Simvastatin,TRANSPORTED_BY,BCRP
Simvastatin,PARTICIPATES_IN,Cholesterol biosynthesis pathway
Simvastatin,CAUSES,Myalgia
Simvastatin,CAUSES,Rhabdomyolysis
Simvastatin,CAUSES,Increased liver enzymes
Simvastatin,CAUSES,Headache
Lovastatin,TARGETS,HMG-CoA reductase (HMGCR)
Lovastatin,METABOLIZED_BY,CYP3A4
Lovastatin,TRANSPORTED_BY,OATP1B1
Lovastatin,TRANSPORTED_BY,BCRP
Lovastatin,PARTICIPATES_IN,Cholesterol biosynthesis pathway
Lovastatin,CAUSES,Myalgia
Lovastatin,CAUSES,Rhabdomyolysis
Lovastatin,CAUSES,Increased liver enzymes
Lovastatin,CAUSES,Headache
Pravastatin,TARGETS,HMG-CoA reductase (HMGCR)
Pravastatin,METABOLIZED_BY,CYP3A4
Pravastatin,TRANSPORTED_BY,OATP1B1
Pravastatin,TRANSPORTED_BY,BCRP
Pravastatin,PARTICIPATES_IN,Cholesterol biosynthesis pathway
Pravastatin,CAUSES,Myalgia
Pravastatin,CAUSES,Rhabdomyolysis
Pravastatin,CAUSES,Increased liver enzymes
Pravastatin,CAUSES,Headache
Rosuvastatin,TARGETS,HMG-CoA reductase (HMGCR)
Rosuvastatin,METABOLIZED_BY,CYP3A4
Rosuvastatin,TRANSPORTED_BY,OATP1B1
Rosuvastatin,TRANSPORTED_BY,BCRP
Rosuvastatin,PARTICIPATES_IN,Cholesterol biosynthesis pathway
Rosuvastatin,CAUSES,Myalgia
Rosuvastatin,CAUSES,Rhabdomyolysis
Rosuvastatin,CAUSES,Increased liver enzymes
Rosuvastatin,CAUSES,Headache
Pitavastatin,TARGETS,HMG-CoA reductase (HMGCR)
Pitavastatin,METABOLIZED_BY,CYP3A4
Pitavastatin,TRANSPORTED_BY,OATP1B1
Pitavastatin,TRANSPORTED_BY,BCRP
Pitavastatin,PARTICIPATES_IN,Cholesterol biosynthesis pathway
Pitavastatin,CAUSES,Myalgia
Pitavastatin,CAUSES,Rhabdomyolysis
Pitavastatin,CAUSES,Increased liver enzymes
Pitavastatin,CAUSES,Headache
Fluvastatin,TARGETS,HMG-CoA reductase (HMGCR)
Fluvastatin,METABOLIZED_BY,CYP3A4
Fluvastatin,TRANSPORTED_BY,OATP1B1
Fluvastatin,TRANSPORTED_BY,BCRP
Fluvastatin,PARTICIPATES_IN,Cholesterol biosynthesis pathway
Fluvastatin,CAUSES,Myalgia
Fluvastatin,CAUSES,Rhabdomyolysis
Fluvastatin,CAUSES,Increased liver enzymes
Fluvastatin,CAUSES,Headache
Lisinopril,TARGETS,Angiotensin-converting enzyme (ACE)
Lisinopril,METABOLIZED_BY,Not significantly metabolized by CYP (renal elimination)
Lisinopril,TRANSPORTED_BY,PEPT1
Lisinopril,TRANSPORTED_BY,PEPT2
Lisinopril,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Lisinopril,CAUSES,Dry cough
Lisinopril,CAUSES,Hyperkalemia
Lisinopril,CAUSES,Angioedema
Lisinopril,CAUSES,Hypotension
Enalapril,TARGETS,Angiotensin-converting enzyme (ACE)
